,Model,horse,leaves,butterfly,peppers
0,SRGAN,6.6817771188965445,7.956734149843728,,
1,SRCNN,22.108684213301025,26.610513251898407,28.24648417943143,41.91323284172997
2,EEDSR,23.759168364167124,35.23054132302335,32.96522773781817,47.450613200351675
3,CoCoNet,5.524786208321976,,,
4,CAE,7.839674220368849,0.8999940813787319,4.672515114268238,1.556682172145913
5,HiFiC,7.842583802659987,0.9025725848385796,4.673979106098009,1.5586737383941176
6,HiFiC+SRCNN,18.566322479773493,25.50233642106459,25.732404331688137,36.49149908130462
